nota_graduacao,experiencia_profissional,publicacoes,projetos_pesquisa,pontuacao_prova,pontuacao_entrevista,programa,nivel_pretendido,tipo_instituicao_origem,regiao_origem,modalidade_candidatura,idade,renda_familiar,ensino_ingles,aprovado
8.945071229516849,13,2,1,70.83571951295224,82.27576876414386,Fisica,Mestrado,Federal,Sudeste,Regular,36,3203.1898183043054,Avancado,0
7.992603548243222,14,2,2,75.52908288967956,55.574246857385866,Engenharia_Eletrica,Doutorado,Federal,Sul,Regular,39,43401.62089686208,Basico,0
9.171532807151038,5,0,2,64.09203827110389,56.435958513667146,Engenharia_Mecanica,Mestrado,Privada,Sudeste,Regular,43,1000.0,Intermediario,0
10.0,10,4,2,72.7473652290765,71.93110177046881,Engenharia_Mecanica,Mestrado,Federal,Norte,Regular,39,50000.0,Intermediario,1
7.848769937914995,2,2,3,67.65694992014153,79.3177208016228,Engenharia_Mecanica,Mestrado,Publica,Nordeste,Regular,38,5846.702206168553,Intermediario,0
7.848794564576228,7,2,2,73.48732772432311,94.401699050317,Engenharia_Civil,Mestrado,Privada,Norte,Cotas,22,15580.61482115197,Intermediario,1
10.0,2,1,0,68.19473595508647,83.49600371982558,Ciencia_Computacao,Mestrado,Publica,Sudeste,Regular,35,5036.380085146805,Basico,1
9.351152093729363,13,2,1,82.85927810906999,100.0,Engenharia_Mecanica,Mestrado,Privada,Sudeste,Cotas,41,13073.243267785254,Intermediario,1
7.495788421097571,11,2,1,87.27608099774153,62.10287914812769,Matematica,Doutorado,Publica,Sudeste,Regular,43,1582.5116113628776,Avancado,0
9.013840065378947,12,2,1,69.30426269677967,81.45550197080098,Engenharia_Eletrica,Doutorado,Privada,Sudeste,Regular,37,1000.0,Avancado,1
7.504873460781306,12,4,0,62.82180496699903,74.65434935879753,Fisica,Doutorado,Publica,Sul,Regular,25,50000.0,Basico,0
7.501405369644614,1,0,0,85.67432601276259,82.81565595129601,Fisica,Mestrado,Privada,Centro-Oeste,Regular,43,48833.20889035798,Intermediario,0
8.562943407349051,12,1,0,77.77138219182662,100.0,Engenharia_Civil,Doutorado,Publica,Sul,Regular,27,1387.7874210080713,Avancado,1
5.330079633013303,12,4,2,69.49895882224466,100.0,Fisica,Mestrado,Federal,Centro-Oeste,Regular,37,11612.722963989878,Intermediario,0
5.61262325123045,2,0,5,95.6332787004481,80.65352443155733,Engenharia_Eletrica,Doutorado,Privada,Sudeste,Regular,41,19721.255596874063,Intermediario,0
7.356568706138541,10,0,2,66.5244860930026,90.33816665802549,Ciencia_Computacao,Mestrado,Publica,Centro-Oeste,Regular,27,10853.315494604913,Basico,1
6.680753319498363,5,3,1,45.10595526479736,82.5866000077435,Fisica,Mestrado,Publica,Sudeste,Regular,36,3827.652312710956,Intermediario,0
8.67137099889291,1,0,2,64.38060944052003,67.09647316003507,Fisica,Mestrado,Federal,Centro-Oeste,Regular,22,50000.0,Intermediario,0
6.837963886718183,7,1,1,99.27567715336968,80.17184482645831,Matematica,Doutorado,Publica,Sudeste,Regular,28,11217.105271015926,Intermediario,0
6.081544447997063,0,0,3,70.23444403399789,73.93868701506189,Ciencia_Computacao,Doutorado,Privada,Centro-Oeste,Regular,44,1614.0722317626444,Intermediario,0
10.0,6,1,0,67.26841062846064,79.24676690607907,Engenharia_Mecanica,Doutorado,Privada,Sudeste,Regular,32,3089.413168144513,Intermediario,0
7.861335549270196,1,2,0,75.39904681880346,69.77495739055647,Engenharia_Eletrica,Mestrado,Publica,Sudeste,Regular,22,1361.071660986138,Avancado,0
8.301292307031884,9,2,0,90.16594631839352,81.86176422418964,Fisica,Mestrado,Publica,Sul,Regular,29,4320.488606769944,Intermediario,1
6.062877720679814,11,1,1,73.75650013924262,83.66780303572268,Matematica,Doutorado,Privada,Sul,Cotas,35,4155.98815716192,Intermediario,1
7.383425913212225,5,2,2,83.87021372862961,88.45103714025105,Engenharia_Eletrica,Mestrado,Publica,Nordeste,Regular,26,12166.421974826879,Avancado,0
8.366383884564799,11,3,0,72.16100653594788,83.71831933241216,Engenharia_Civil,Doutorado,Publica,Centro-Oeste,Regular,34,11953.480743608463,Avancado,1
6.473509633866545,1,0,1,83.98816756719549,99.61530618595118,Matematica,Mestrado,Publica,Nordeste,Regular,36,7832.265973381433,Avancado,0
8.763547027518507,1,3,0,77.70394190852268,100.0,Engenharia_Civil,Mestrado,Publica,Nordeste,Regular,30,7583.110612648958,Intermediario,0
7.299041965121792,9,1,0,69.03012337666166,75.1456191169809,Fisica,Doutorado,Publica,Sudeste,Estrangeiro,29,17187.198397916778,Intermediario,1
7.762459375310084,12,4,2,78.87137964902004,91.64081346419029,Matematica,Mestrado,Federal,Nordeste,Regular,40,3748.0639571119727,Intermediario,1
7.297440081655904,7,5,1,66.862351384279,100.0,Engenharia_Mecanica,Doutorado,Privada,Sul,Regular,38,1000.0,Basico,0
10.0,14,1,2,54.327174722503415,91.95347192302778,Engenharia_Eletrica,Mestrado,Privada,Norte,Regular,40,50000.0,Intermediario,1
8.179754162893099,14,1,2,74.70168309221792,88.60788192712147,Engenharia_Eletrica,Doutorado,Publica,Sul,Regular,39,1647.66127790558,Intermediario,1
6.613433606566149,11,4,1,55.65938463165226,58.13771717875561,Ciencia_Computacao,Mestrado,Publica,Nordeste,Regular,39,11322.644860266684,Basico,0
9.433817368154783,1,1,1,83.96144303293332,73.30308881256926,Matematica,Doutorado,Federal,Sudeste,Cotas,25,3265.7819224006107,Avancado,1
6.368734525043466,6,1,1,74.4376384241277,75.05475260032114,Matematica,Mestrado,Privada,Sudeste,Cotas,23,26308.23160667,Intermediario,0
8.513295392507132,2,3,1,96.34937922635751,96.64628855823608,Engenharia_Civil,Mestrado,Publica,Sul,Regular,26,1549.9377719354895,Intermediario,1
5.260494814180336,7,2,0,70.0464433346363,71.23268550342287,Matematica,Mestrado,Privada,Sudeste,Regular,38,2094.4733189442604,Intermediario,0
6.207720926652353,6,0,3,74.69959204734714,78.97550384032769,Engenharia_Eletrica,Doutorado,Privada,Sudeste,Regular,43,2704.520228353268,Basico,0
8.495291853803685,13,1,0,52.9556092328023,90.08330544811712,Matematica,Mestrado,Federal,Sudeste,Regular,28,9558.20356663249,Avancado,1
9.307699869993115,7,2,2,58.43860033244181,70.69160780539718,Ciencia_Computacao,Mestrado,Publica,Norte,Regular,37,6423.02494778929,Intermediario,1
8.457052421784955,13,1,1,49.8191585647721,83.34907622068809,Ciencia_Computacao,Doutorado,Privada,Sudeste,Regular,22,9684.189436697105,Intermediario,0
8.026527576417639,6,4,5,91.16240716719247,81.78528085401311,Engenharia_Eletrica,Mestrado,Privada,Norte,Regular,33,5722.19900819379,Intermediario,1
7.748344456616066,10,3,1,68.10668527508821,90.52532150302359,Engenharia_Eletrica,Mestrado,Federal,Sudeste,Regular,40,15039.48978195515,Intermediario,1
5.9822170144488584,5,0,2,94.90619627090106,87.90618969352691,Engenharia_Eletrica,Mestrado,Federal,Sudeste,Regular,30,15345.219732512453,Intermediario,1
